1	Heús, adulescens.
498	potuit: plus iam sum libera quinquennium.
499	Quid tibi negotist meae domi igitur?
499a	Audies.
500	conducta veni, ut fidibus cantarem seni,
501	dum rem divinam faceret.
501a	Fateor me omnium
502	hominum esse Athenis Atticis minimi preti.
503	sed tu novistin fidicinam Acropolistidem?
504	Tam facile quam me.
504a	Vbi habitat?
504b	Postquam liberast
505	ubi habitet dicere admodum incerte scio.
506	Eho an libera illa est? quis eam liberaverit,
507	volo scíre, si scis.
507a	Id quod audivi audies.
508	Stratippoclem aiunt Periphanai filium
509	absentem curavisse ut fieret libera.
510	Perii hercle, si istaec vera sunt; planissume
511	meum exenteravit Epidicus marsuppium.
512	Haec sic audivi. numquid me vis ceterum?
513	Malo cruciatu ut pereas atque abeas cito.
514	Fides non reddis?
514a	Neque fides neque tibias.
515	propera igitur fugere hinc, si te di amant.
515a	Abiero.
516	flagitio cum maiore post reddes tamen.—
517	Quid nunc? qui in tantis positus sum sententiis, †
518	eamne egó sinam impune? immo etiam si alterum
519	tantum perdundumst, perdam potius quam sinam
520	me impune irrisum esse, habitum depeculatui
521	ei sic data esse verba praesenti palam!
522	atque mé minoris facio prae illo, qui omnium
523	legum atque iurum fictor, conditor cluet;
524	is etiam sese sapere memorat: malleum
525	sapientiorem vidi excusso manubrio.
526	Sí quid est homini míseriarum quód miserescat, míser ex animost.
527	íd ego expérior, cui múlta in unúm locum
528	cónfluont, quaé meum péctus pulsánt simul:
529	multiplex aerumna me exercitam habet,
530	paupértas, pavór territát mentem ánimi,
531	neque úbi meas spes cóllocem habeo úsquam munitúm locum.
532	ita gnáta mea hostiumst potita, neque ea nunc ubi sit scio.
533	Quis illaec est mulier, timido pectore peregre adveniens
534	quae ipsa se miseratur?
534a	In his dictust locis habitare mihi
535	Periphanes.
535a	Me nominat haec; credo ego illi hospitio usus venit.
536	Pervelim mercedem dare, qui monstret eum mihi hominem aut ubi habitet.
537	Noscito ego hanc, nam videor nescio ubi mi vidisse prius.
538	éstne ea an nón east quam animus retur meus?
539	Di boni, visitavi antidhac?
540	Certo eást quam in Épidauro paupérculam memini cómprimere.
541	Plane hícine est, qui mihi in Épidauro primús pudicitiam pépulit.
542	Quaé meo compréssu peperit fíliam quam dómi nunc habeo.
543	quíd si adeam—
543a	Hau scio án congrediar—
543b	Si haéc east.
543c	Si is ést homo, sicut
544	ánni multi dúbia dant.
545	Lónga dies meum incértat animum. sín east quam incerte aútumo,
545a	hánc congrediar ástu.
546	Múliebris adhibenda míhi malitia nunc est.
547	Cómpellabo.
547a	Orátionis áciem contra cónferam.
548	Salva sis.
548a	Salutem accipio mi et meis.
548b	Quid ceterum?
549	Salvos sis: quod credidisti reddo.
549a	Haud accuso fidem.
550	novin ego te?
550a	Si ego te novi, animum inducam, ut tu noveris.
551	Vbi te visitavi?
551a	Inique iniuriu's iniurius es .
551b	Quid iam?
551c	Quia
552	tuae memoriae interpretari me aequom censes.
552a	Commode
553	fabulata es.
553a	Mira memoras. 
553b	Te memini —
553c	Em istuc rectius.
554	Meministin—
554a	Memini id quod memini.
554b	At in Epidauro—
554c	Ah, guttula
555	pectus ardens mi aspersisti.
555a	Virgini pauperculae,
556	tuaeque matri me levare paupertatem?
556a	Tun is es,
557	qui per voluptatem tuam in me aerumnam obsevisti gravem?
558	Ego sum. salve.
558a	Salva sum, quia te esse salvom sentio.
559	Cedo manum.
559a	Accipe. aerumnosam et miseriarum compotem
560	mulierem retines.
560a	Quid est quod voltus turbatust tuos?
561	Filiam quam ex te suscepi—
561a	Quid eam?
561b	Eductam perdidi.
562	hostium est potita.
562a	Habe animum lenem et tranquillum. tace.
563	domi meae eccam salvam et sanam. nam postquam audivi ilico
564	ex meo servo, illam esse captam, continuo argentum dedi,
565	ut emeretur. ille eam rem ádeo sobrie et frugaliter
566	accuravit, ut ut ad alias res est impense inprobus.
567	Fac videam, si mea, si salva mihi sit .
567a	Eho, istinc, Canthara,
568	iube Telestidem huc prodire filiam ante aedis meam,
569	ut suam videat matrem.
569a	Remigrat animus nunc demum mihi.
570	Quid est, pater, quod me excivisti ante aedis?
570a	Vt matrem tuam
571	videas, adeas, advenienti des salutem atque osculum.
572	Quam meam matrem?
572a	Quae exanimata exsequitur aspectum tuom.
573	Quis istaec est quam tu osculum mihi ferre iubes?
573a	Tua filia.
574	Haecine?
574a	Haec.
574b	Egone osculum huic dem?
574c	Quor non, quae ex te nata sit?
575	Tú homo insanis.
575a	Egone?
575b	Tune.
575c	Quor?
575d	Quia ego hanc quae siet
576	neque scio neque novi, neque ego hanc oculis vidi ante hunc diem.
577	Scio quid erres: quia vestitum atque ornatum immutabilem
578	habet haec, 
579	 aliter catuli longe olent, aliter suis.
580	ne ego eam novisse 
580a	Pro deum atque hominum fidem,
581	quid? ego lenocinium facio, quí habeam alienos domi
582	atque argentum egurgitem domo prosus? quid tu, quae patrem
583	tuom vocas me atque osculare, quid stas stupida? quid taces?
584	Quid loquar vis?
584a	Haec negat se tuam esse matrem.
584b	Ne fuat,
585	si non volt: equidem hac invita támen ero matris filia;
586	non med istanc cogere aequom est meam esse matrem, si nevolt.
587	Cur me igitur patrem vocabas?
587a	Tua istaec culpast, non mea.
588	non patrem ego te nominem, ubi tu tuam me appellas filiam?
589	hanc quoque etiam, si me appellet filiam, matrem vocem.
590	negat haec filiám me suam ésse: non ergo haec mater mea est.
591	postremo haec mea culpa non est: quae didici dixi omnia;
592	Epidicus mihi fuit magister.
592a	Perii, plaustrum perculi.
593	Numquid ego ibi, pater, peccavi?
593a	Si hercle te umquam audivero
594	me patrem vocare, vitam tuam ego interimam.
594a	Non voco.
595	ubi voles pater esse, ibi esto; ubi noles, ne fueris pater.
596	Quid, si ob eam rem hanc emisti, quia tuam gnatam es ratus,
597	quibus de signis agnoscebas?
597a	Nullis.
597b	Qua re filiam
598	credidisti nostram?
598a	Servos Epidicus dixit mihi.
599	Quid si servo aliter visumst, non poteras novisse, obsecro? †
600	Quid ego, qui illam ut primum vidi, numquam vidi postea?
601	Perii misera.
601a	Ne fle, mulier. intro abi, habe animum bonum;
602	ego illam reperiam.
602a	Hinc Athenis civis eam émit Atticus:
603	adulescentem equidem dicebant emisse.
603a	Inveniam, tace.
604	abi modo intro atque hanc asserva Circam Solis filiam.
605	ego relictis rebus Epidicum operam quaerendo dabo:
606	si invenio, exitiabilem égo illi faciam hunc ut fiat diem.—
607	Male morigerus mi est danista, qui a me argentum non petit
608	neque illam adducit quae empta ex praedast. séd eccum incedit Epidicus.
609	quid illuc est quod illí caperrat frons severitudine?
610	Si undecim deos praeter sese secum adducat Iuppiter,
611	ita non omnes ex cruciatu poterunt eximere Epidicum.
612	Periphanem emere lora vidi, ibi aderat una Apoecides;
613	nunc homines me quaeritare credo. senserunt, sciunt
614	sibi data esse verba.
614a	Quíd agis, mea commoditas?
614b	Quod miser.
615	Quid est tibi?
615a	Quin tu mi adornas ad fugam viaticum,
616	prius quam pereo? nam per urbem duo defloccati senes
617	quaeritant me, in manibus gestant copulas secum simul.
618	Habe bonum animum.
618a	Quippe ego quoi libertas in mundo sitast.
619	Ego te servabo.
619a	Edepol me illi melius, si nacti fuant.
620	sed quis haec ést muliercula et ille gravastellus qui venit?
621	Hic est danista, haec illa est autem, quam emi de praeda.
621a	Haecinest?
622	Haec est. estne ita ut tibi dixi? aspecta et contempla, Epidice:
623	usque ab unguiculo ad capillum summumst festivissuma.
624	estne consímilis quasi cum signum pictum pulchre aspexeris?
625	Ex tuis verbis meum futurum corium pulchrum praedicas,
626	quém Apella atque Zeuxis duo pingent pigmentis ulmeis.
627	Di immortales, sicin iussi ad me ires? pedibus † pulmunes
628	qui perhíbetur prius venisset quam tu advenisti mihi.
629	Haec edepol remorata med est.
629a	Siquidem istius gratia
630	id remoratu's remoratus es quod ista voluit, nimium advenisti cito.
631	Age age, absolve me atque argentum numera, ne comites morer.
632	Pernumeratumst.
632a	Tene cruminam: huc inde.
632b	Sapienter venis.
633	opperire, dum effero ad te argentum.
633a	Matura.
633b	Domist.—
634	Satin ego oculis utilitatem optineo sincere an parum?
635	videon ego Telestidem te, Periphanai filiam,
636	ex Philippa matre natam Thebis, Epidauri satam?
637	Quis tu homo es, qui meum parentum nomen memoras et meum?
638	Non me nosti?
638a	Quod quidem nunc veniat in mentem mihi.
639	Non meministi me auream ad te afferre natali die
640	lunulam atque anellum aureolum ín digitum?
640a	Memini, mi homo.
641	tune is es?
641a	Ego sum, ét istic frater, qui te mercatust, tuos.
642	 ália matre, uno patre.
643	Quid pater meus? vivit?
643a	Animo liquido et tranquillo es, tace.
644	Di me ex perdita servatam cupiunt, si vera autumas.
645	Non habeo ullam occasionem, ut apud te falsa fabuler.
646	Accipe argentum hoc, danista. hic sunt quadraginta minae.
647	siquid erit dubium, immutabo.
647a	Bene fecisti, bene vale.—
648	Nunc enim tú mea es.
648a	Soror quidem edepol, ut tu aeque scias.
649	salve, frater.
649a	Sanan haec est?
649b	Sana, si appellat suom.
650	Quid? ego modo amator sum huic frater factus, dum intro eo atque exeo?
651	Quod boni est id tacitus taceas tute tecum et gaudeas.
652	Perdidisti et repperisti me, soror.
652a	Stultu's stultus es , tace.
653	tibi quidem quod ames domi praéstost, fidicina, opera mea;
654	et sororem in libertatem idem opera concilio mea.
655	Epidice, fateor—
655a	Abi intro ac iúbe huic aquam calefieri;
656	cetera haec posterius faxo scibis, ubi erit otium.
657	Sequere hac me, soror.
657a	Ego ad vos Thesprionem iussero
658	huc transire. sed memento, si quid saevibunt senes,
659	suppetias mihi cum sorore ferre.
659a	Facile istuc erit.—
660	Thesprio, exi istac per hortum, adfer domum auxilium mihi,
661	magnast res. minoris multo facio quam dudum senes.
662	remeabo intro, ut accurentur advenientes hospites.
663	eádem haec intus edocebo quae ego scio Stratippoclem.
664	non fugio, domi adesse certumst; neque ille haud obiciet mihi
665	pedibus sese provocatum. abeo intro, nimis longum loquor.—
666	Satine illic homo ludibrio nos vetulos decrepitos duos
667	habet?
667a	Immo edepol tu quidem míserum med habes miseris modis.
668	Tace sis, modo sine me hóminem apisci.
668a	Dico ego tibi iam, ut scias:
669	alium tibi te comitem meliust quaerere; ita, dum te sequor,
670	lassitudine invaserunt misero in genua flemina.
671	Quot illic homo hodie me exemplis ludificatust atque te,
672	ut illic autem exenteravit mihi opes argentarias!
673	Apage illum a me, nam ille quidem Volcani iratist filius:
674	quaqua tangit, omne amburit, si astes, aestu calefacit.
675	Duodecim deis plus quam in caelo deorumst immortalium
676	mihi nunc auxilio adiutores sunt et mecum militant.
677	quidquid ego malefeci, auxilia mi et suppetiae sunt domi,
678	apolactizo inimicos omnis.
678a	Vbi illum quaeram gentium?
679	Dum sine me quaeras, quaeras mea causa vel medio in mari.
680	Quid me quaeris? quid laboras? quid hunc sollicitas? ecce me.
681	num te fugi, num ab domo apsum, num oculis concessi tuis?
682	
683	nec tibi supplico. vincire vis? em, ostendo manus;
684	tú habes lora, ego te emere vidi: quid nunc cessas? colliga.
685	Ilicet, vadimonium ultro mi hic facit.
685a	Quin colligas?
686	Edepol mancipium scelestum.
686a	Te profecto, Apoecides,
687	nil moror mihi deprecari.
687a	Facile exoras, Epidice.
688	Ecquid agis?
688a	Tuon arbitratu?
688b	Meo hercle vero atque hau tuo
689	colligandae haec sunt tibi hodie.
689a	At non lubet, non colligo.
690	Tragulam in te inicere adornat, nescio quam fabricam facit.
691	Tibi moram facis, cum égo solutus asto. age, inquam, colliga.
692	At mihi magis lubet solutum te rogitare.
692a	At nil scies.
693	Quid ago?
693a	Quid agas? mos geratur.
693b	Frugi es tú homo, Apoecides.
694	Cedo manus igitur.
694a	Morantur nihil. atque arte colliga.
695	Nihil moror.
695a	Obnoxiose.
695b	Facto opere arbitramino.
696	Bene hoc habet. age nunciam ex me exquire, rogita quod lubet.
697	Qua fiducia ausu's ausus es primum, quae emptast nudiustertius,
698	filiam meam dicere esse?
698a	Libuit: ea fiducia.
699	Ain tu? libuit?
699a	Aio. vel da pignus, ni ea sit filia.
700	Quam negat novisse mater?
700a	Ni ergo matris filia est,
701	in meum nummum, in tuom talentum pignus da.
701a	Enim istaec captiost.
702	sed quis east mulier?
702a	Tui gnati amica, ut omnem rem scias.
703	Dedin tibi minas triginta ob filiam?
703a	Fateor datas
704	et eo argento illam me emisse amicam fili fidicinam
705	pro tua filia: is te eam ob rem tetigi triginta minis.
706	Quo modo mé ludos fecisti de illa conducticia
707	fidicina?
707a	Factum hercle vero, et recte factum iudico.
708	Quid postremo argento factum est quod dedi?
708a	Dicam tibi:
709	neque malo homini neque maligno tuo dedi Stratippocli.
710	Quor dare ausu's ausus es ?
710a	Quia mi libitum est.
710b	Quae haec, malum, impudentiast?
711	Etiam inclamitor quasi servos?
711a	Cum tu es liber, gaudeo.
712	Merui ut fierem.
712a	Tu meruisti?
712b	Vise intro: ego faxo scies
713	hoc ita esse.
713a	Quid est negoti?
713b	Iam ipsa res dicet tibi.
714	abi modo intro.
714a	Ei, non illuc temerest.
714b	Adserva istum, Apoecides.—
715	Quid illuc, Epidice, est negoti?
715a	Maxima hercle iniuria
716	vinctus asto, cuius haec hodie ópera inventast filia.
717	Ain tu te illius invenisse filiam?
717a	Inveni, et domi est.
718	sed ut acerbum est, pro bene factis cum mali messim metas.
719	Quamne hodie per urbem uterque sumus defessi quaerere?
720	Ego sum defessus reperire, vos defessi quaerere.
721	Quid isti oratis opere tanto? mi orandum esse intellego,
722	ut liceat merito huius facere. cedo tu ut exsolvam manus.
723	Ne attigas.
723a	Ostende vero.
723b	Nolo.
723c	Non aequom facis.
724	Numquam hercle hodie, nisi supplicium mihi das, me solvi sinam.
725	Optumum atque aequissumum oras. soccos, tunicam, pallium
726	tibi dabo.
726a	Quid deinde porro?
726b	Libertatem.
726c	At postea?
727	novo liberto opus est quod pappet.
727a	Dabitur, praebebo cibum.
728	Numquam hercle hodie, nisi me orassis, solves.
728a	Oro te, Epidice,
729	mihi ut ignoscas, siquid imprúdens culpa peccavi mea.
730	at ob eam rem liber esto.
730a	Invitus do hanc veniam tibi,
731	nisi necessitate cogar. solve sane, si lubet.
732	Hic is homo est qui libertatem malitia invenit sua.
733	plaudite et valete. lumbos porgite atque exsurgite.
